u,v,key,osmid,bridge,oneway,lanes,ref,highway,maxspeed,reversed,length,name,tunnel,junction,access,geometry
1443502952,1406434333,0,231909294,,False,2,,residential,,True,27.904,Rua da Ponte de Pau,,,,"LINESTRING (-8.6486393 40.6406543, -8.6489 40.6408087)"
1443531742,1443531744,0,135672088,yes,True,2,EN 109,primary,,False,49.636,,,,,"LINESTRING (-8.6426601 40.6305293, -8.6422365 40.630839)"
1443531744,1489705896,0,135672088,yes,True,2,EN 109,primary,,False,53.693,,,,,"LINESTRING (-8.6422365 40.630839, -8.641773 40.6311698)"
1443531749,1443531751,0,135672084,,True,2,EN 109,primary,,False,7.253,,,,,"LINESTRING (-8.6412768 40.631524, -8.6412142 40.6315687)"
1443531751,1443531752,0,135672084,,True,2,EN 109,primary,,False,8.329,,,,,"LINESTRING (-8.6412142 40.6315687, -8.6411438 40.6316212)"
1443531752,3660913205,0,135672084,,True,2,EN 109,primary,,False,49.841,,,,,"LINESTRING (-8.6411438 40.6316212, -8.6407152 40.6319296)"
1443531771,1443531775,0,135672084,,True,2,EN 109,primary,,False,69.011,,,,,"LINESTRING (-8.6405497 40.6320486, -8.639953 40.632473)"
1443531775,1443531778,0,135672084,,True,2,EN 109,primary,,False,66.859,,,,,"LINESTRING (-8.639953 40.632473, -8.6393731 40.6328827)"
1443531778,1443531781,0,507548440,,True,1,EN 109,primary,,False,28.297,,,,,"LINESTRING (-8.6393731 40.6328827, -8.6391186 40.6330484)"
1443531781,1443531783,0,507548440,,True,1,EN 109,primary,,False,40.483,,,,,"LINESTRING (-8.6391186 40.6330484, -8.6387686 40.6332974)"
1446878375,1446878379,0,131476953,,True,1,,residential,30,False,19.516,Praça Rainha Dona Leonor,,,,"LINESTRING (-8.647719 40.6319259, -8.6477169 40.6317504)"
1446878379,1489449135,0,131476953,,True,1,,residential,30,False,12.973,Praça Rainha Dona Leonor,,,,"LINESTRING (-8.6477169 40.6317504, -8.6476895 40.6316356)"
1446878383,1489449132,0,131476953,,True,1,,residential,30,False,7.736,Praça Rainha Dona Leonor,,,,"LINESTRING (-8.647277 40.6313129, -8.6471864 40.6313023)"
1446878383,8920106230,0,538202381,,False,,,unclassified,,False,36.072,Rua Daniel Rodrigues,,,,"LINESTRING (-8.647277 40.6313129, -8.6469554 40.6310992)"
1446878389,1446878383,0,131476953,,True,1,,residential,30,False,8.849,Praça Rainha Dona Leonor,,,,"LINESTRING (-8.6473668 40.631354, -8.647277 40.6313129)"
1460154265,1487416387,0,168729308,,True,1,,residential,,False,28.446,Rua Abel Ribeiro,,,,"LINESTRING (-8.6564126 40.6433088, -8.6566832 40.6431562)"
1477868890,4972002325,0,134404753,,True,2,,secondary,,False,27.662,Alameda Silva Rocha,,,,"LINESTRING (-8.6396257 40.6406946, -8.639298 40.6406873)"
1484655920,330341300,0,135165691,,False,,,residential,,False,17.479,Rua José Afonso,,,,"LINESTRING (-8.6459459 40.64112, -8.6457388 40.6411237)"
1484655920,9062001858,0,135165691,,False,,,residential,,True,4.707,Rua José Afonso,,,,"LINESTRING (-8.6459459 40.64112, -8.6460005 40.6411113)"
1484655922,9062001857,0,135165691,,False,,,residential,,False,6.191,Rua José Afonso,,,,"LINESTRING (-8.6461414 40.6410675, -8.6460747 40.6410907)"
1484655922,1484655923,0,135165691,,False,,,residential,,True,18.223,Rua José Afonso,,,,"LINESTRING (-8.6461414 40.6410675, -8.646323 40.6409788)"
1484655923,1484655922,0,135165691,,False,,,residential,,False,18.223,Rua José Afonso,,,,"LINESTRING (-8.646323 40.6409788, -8.6461414 40.6410675)"
1484655923,1484655937,0,135165691,,False,,,residential,,True,20.313,Rua José Afonso,,,,"LINESTRING (-8.646323 40.6409788, -8.6464759 40.6408377)"
1484655928,1699844854,0,135165691,,False,,,residential,,False,15.336,Rua José Afonso,,,,"LINESTRING (-8.6450991 40.6408972, -8.6449418 40.6408281)"
1484655928,1484655932,0,135165691,,False,,,residential,,True,40.405,Rua José Afonso,,,,"LINESTRING (-8.6450991 40.6408972, -8.6455138 40.6410789)"
1484655928,1699844859,0,135196403,,False,,,residential,,True,15.139,Rua Dom Carlos I,,,,"LINESTRING (-8.6450991 40.6408972, -8.6450008 40.6410111)"
1484655932,1484655928,0,135165691,,False,,,residential,,False,40.405,Rua José Afonso,,,,"LINESTRING (-8.6455138 40.6410789, -8.6450991 40.6408972)"
1484655932,330341300,0,135165691,,False,,,residential,,True,19.627,Rua José Afonso,,,,"LINESTRING (-8.6455138 40.6410789, -8.6457388 40.6411237)"
1484655933,5238144392,0,95574937,,True,2,,secondary,,False,19.096,Avenida 5 de Outubro,,,,"LINESTRING (-8.6466781 40.6419368, -8.6464712 40.6420064)"
1484655936,1484655933,0,95574937,,True,2,,secondary,,False,29.046,Avenida 5 de Outubro,,,,"LINESTRING (-8.6469673 40.6417951, -8.6466781 40.6419368)"
1484655937,1484655923,0,135165691,,False,,,residential,,False,20.313,Rua José Afonso,,,,"LINESTRING (-8.6464759 40.6408377, -8.646323 40.6409788)"
1484655937,330341299,0,135165691,,False,,,residential,,True,24.027,Rua José Afonso,,,,"LINESTRING (-8.6464759 40.6408377, -8.6466505 40.640667)"
1484930831,330341301,0,135194483,,False,2,,residential,,True,72.396,Rua Doutor Manuel Soares,,,,"LINESTRING (-8.6438913 40.6411238, -8.6443263 40.6405626)"
1484930831,1699763273,0,135196403,,False,,,residential,,False,13.002,Rua Dom Carlos I,,,,"LINESTRING (-8.6438913 40.6411238, -8.6440238 40.6411835)"
1484930831,9895628076,0,135196403,,False,,,residential,,True,97.737,Rua Dom Carlos I,,,,"LINESTRING (-8.6438913 40.6411238, -8.6428919 40.6406794)"
1484930840,1699844859,0,135196403,,False,,,residential,,False,53.32,Rua Dom Carlos I,,,,"LINESTRING (-8.6446567 40.6414133, -8.6450008 40.6410111)"
1484930840,1699844856,0,135196403,,False,,,residential,,True,4.59,Rua Dom Carlos I,,,,"LINESTRING (-8.6446567 40.6414133, -8.6446042 40.6414241)"
1484957976,392954088,0,686659358,,True,2,,secondary,,False,7.586,Avenida Congressos da Oposição Democrática,,,,"LINESTRING (-8.6424997 40.6410586, -8.6425896 40.6410593)"
1484957977,6436344296,0,686659356,,True,1,,residential,,False,13.566,Rua Carlos Silva Melo Guimarães,,,,"LINESTRING (-8.6426373 40.6408881, -8.6426363 40.6407661)"
1484957977,6436344297,0,686659363,,True,2,,secondary,,False,4.517,Avenida Congressos da Oposição Democrática,,,,"LINESTRING (-8.6426373 40.6408881, -8.6425943 40.6408639)"
1484957978,1484957981,0,791113503,,True,2,,secondary,,False,6.863,Avenida Congressos da Oposição Democrática,,,,"LINESTRING (-8.6423532 40.6409912, -8.6424134 40.6410327)"
